question;document;hit_rate_text;hit_rate_vector;hit_rate_vector_combined;mrr_text;mrr_vector;mrr_vector_combined
Can I still buy something that shows out of stock if it has a pre-order option?;doc_47_can_i_order_a_product_if_it_is;1;1;0;0.5;0.25;0.0
If an item is available for pre-order, does that mean I can place my order now?;doc_47_can_i_order_a_product_if_it_is;1;1;0;0.14285714285714285;0.3333333333333333;0.0
Will a pre-order let me secure the product even though it's not in stock yet?;doc_47_can_i_order_a_product_if_it_is;1;1;0;0.14285714285714285;0.5;0.0
When a product is marked out of stock but has pre-order available, can I order it anyway?;doc_47_can_i_order_a_product_if_it_is;1;1;0;1.0;1.0;0.0
Do pre-orders ship later once the item becomes available?;doc_47_can_i_order_a_product_if_it_is;1;1;0;0.16666666666666666;0.16666666666666666;0.0
If I got something as a gift, can I still return it?;doc_48_can_i_return_a_product_if_it_w;1;1;0;1.0;0.5;0.0
How do gift returns work on your store?;doc_48_can_i_return_a_product_if_it_w;0;0;0;0.0;0.0;0.0
Can a gifted item be sent back, and where does the refund go?;doc_48_can_i_return_a_product_if_it_w;0;1;0;0.0;0.16666666666666666;0.0
What happens if I want to return a product that was bought for me as a gift?;doc_48_can_i_return_a_product_if_it_w;1;1;0;0.5;0.125;0.0
Is it possible to return a gift purchase even if I wasn't the one who paid?;doc_48_can_i_return_a_product_if_it_w;1;0;0;1.0;0.0;0.0
If an item shows as discontinued, can I still order it somehow?;doc_49_can_i_request_a_product_if_it_;1;0;0;0.3333333333333333;0.0;0.0
What does it mean when a product is marked discontinued on your site?;doc_49_can_i_request_a_product_if_it_;1;0;0;0.14285714285714285;0.0;0.0
Is there any way to request a discontinued product or get it back in stock?;doc_49_can_i_request_a_product_if_it_;1;0;0;1.0;0.0;0.0
Do you still sell products that are listed as discontinued?;doc_49_can_i_request_a_product_if_it_;1;0;0;0.3333333333333333;0.0;0.0
If a product is discontinued, should I look for an alternative instead?;doc_49_can_i_request_a_product_if_it_;1;0;0;1.0;0.0;0.0
Can I still buy something that shows as sold out?;doc_50_can_i_order_a_product_if_it_is;1;1;0;1.0;0.14285714285714285;0.0
Is there any way to order a product when it’s marked sold out?;doc_50_can_i_order_a_product_if_it_is;1;1;0;1.0;0.16666666666666666;0.0
What does it mean if an item is sold out on the site?;doc_50_can_i_order_a_product_if_it_is;1;0;0;0.5;0.0;0.0
Should I wait or sign up for alerts if a product isn’t available right now?;doc_50_can_i_order_a_product_if_it_is;0;1;0;0.0;0.3333333333333333;0.0
When a product is sold out, can I purchase it later or get notified?;doc_50_can_i_order_a_product_if_it_is;1;1;0;1.0;0.5;0.0
Can I send back something I bought with a gift card, and do I get money back or store credit?;doc_51_can_i_return_a_product_if_it_w;1;0;0;0.5;0.0;0.0
If I paid with a gift card, is a return still allowed?;doc_51_can_i_return_a_product_if_it_w;1;0;0;1.0;0.0;0.0
When I return an item purchased using a gift card, how is the refund given?;doc_51_can_i_return_a_product_if_it_w;1;1;0;1.0;1.0;0.0
Do returns for gift card purchases go back as cash, or is it store credit/new gift card only?;doc_51_can_i_return_a_product_if_it_w;1;0;0;1.0;0.0;0.0
I bought this with a gift card — can I return it and what will I be refunded with?;doc_51_can_i_return_a_product_if_it_w;1;1;0;1.0;0.25;0.0
Can I still get a product if my size is currently sold out?;doc_52_can_i_request_a_product_if_it_;1;1;0;1.0;0.2;0.0
What should I do if the item I want isn’t available in my size right now?;doc_52_can_i_request_a_product_if_it_;1;1;0;0.5;1.0;0.0
Do you offer size alerts for products that are out of stock?;doc_52_can_i_request_a_product_if_it_;0;0;0;0.0;0.0;0.0
If my size is missing, should I wait and check again later?;doc_52_can_i_request_a_product_if_it_;1;0;0;1.0;0.0;0.0
Is there a way to get notified when my size comes back for a product?;doc_52_can_i_request_a_product_if_it_;1;1;0;1.0;1.0;0.0
Can I still buy a product that shows as coming soon if it lets me pre-order?;doc_53_can_i_order_a_product_if_it_is;1;1;0;1.0;0.3333333333333333;0.0
If an item is marked coming soon, does pre-order mean I can reserve it now?;doc_53_can_i_order_a_product_if_it_is;1;1;0;1.0;0.3333333333333333;0.0
How does ordering work for a product that's not out yet but has pre-order available?;doc_53_can_i_order_a_product_if_it_is;1;0;0;0.2;0.0;0.0
Will I be able to place an order before release when a product is listed as coming soon?;doc_53_can_i_order_a_product_if_it_is;1;1;0;0.5;0.1111111111111111;0.0
Does pre-ordering a coming soon item secure it before it becomes available?;doc_53_can_i_order_a_product_if_it_is;1;1;0;1.0;0.5;0.0
If I used a discount code on my order, can I still send the item back?;doc_54_can_i_return_a_product_if_it_w;1;0;0;0.3333333333333333;0.0;0.0
How does the refund work when the product was bought with a promo code?;doc_54_can_i_return_a_product_if_it_w;1;1;0;0.5;0.3333333333333333;0.0
Can discounted purchases be returned like regular items?;doc_54_can_i_return_a_product_if_it_w;0;0;0;0.0;0.0;0.0
Will I get refunded the full price or only what I actually paid after the discount?;doc_54_can_i_return_a_product_if_it_w;0;0;0;0.0;0.0;0.0
If I return something I bought with a coupon code, how much money do I get back?;doc_54_can_i_return_a_product_if_it_w;1;1;0;1.0;0.1111111111111111;0.0
Do you offer custom orders or personalized items at all?;doc_55_can_i_request_a_custom_order_o;1;1;0;1.0;0.14285714285714285;0.0
Is there any way to get a product customized before I buy it?;doc_55_can_i_request_a_custom_order_o;0;0;0;0.0;0.0;0.0
Can I ask for a personal design or made-to-order version of your products?;doc_55_can_i_request_a_custom_order_o;0;0;0;0.0;0.0;0.0
Do you make special requests or custom pieces for customers?;doc_55_can_i_request_a_custom_order_o;1;0;0;0.5;0.0;0.0
If I want something personalized, can you help with that?;doc_55_can_i_request_a_custom_order_o;1;0;0;1.0;0.0;0.0
Can I still buy something that says temporarily unavailable, or is it out of stock for now?;doc_56_can_i_order_a_product_if_it_is;1;1;0;0.5;0.3333333333333333;0.0
If an item is marked temporarily unavailable, does that mean it’ll come back later?;doc_56_can_i_order_a_product_if_it_is;1;1;0;1.0;0.25;0.0
What should I do when a product is unavailable right now — just wait, or can I get notified?;doc_56_can_i_order_a_product_if_it_is;1;1;0;0.25;0.125;0.0
Is there any way to order a temporarily unavailable product, or do I need to check back later?;doc_56_can_i_order_a_product_if_it_is;1;1;0;1.0;1.0;0.0
Do temporarily unavailable items get restocked, and can I sign up for alerts?;doc_56_can_i_order_a_product_if_it_is;1;1;0;1.0;0.14285714285714285;0.0
Can I return something if I damaged it by using it the wrong way?;doc_57_can_i_return_a_product_if_it_w;1;0;0;0.3333333333333333;0.0;0.0
Does your return policy cover items that got broken after improper use?;doc_57_can_i_return_a_product_if_it_w;1;1;0;0.5;0.125;0.0
If a product was damaged because I used it incorrectly, can I still send it back?;doc_57_can_i_return_a_product_if_it_w;1;0;0;0.5;0.0;0.0
Are products damaged by misuse eligible for a return or refund?;doc_57_can_i_return_a_product_if_it_w;1;1;0;0.16666666666666666;0.5;0.0
Who should I contact if my item was damaged from improper use and I want help?;doc_57_can_i_return_a_product_if_it_w;1;0;0;1.0;0.0;0.0
If something says coming soon but I can’t pre-order it, can I still request it somehow?;doc_58_can_i_request_a_product_if_it_;1;1;0;1.0;0.14285714285714285;0.0
What do I do when a product is marked coming soon but there’s no pre-order option?;doc_58_can_i_request_a_product_if_it_;1;0;0;0.5;0.0;0.0
Is there any way to buy or reserve an item that’s coming soon if pre-order isn’t available?;doc_58_can_i_request_a_product_if_it_;1;1;0;0.25;0.5;0.0
For products listed as coming soon without pre-order, do I just have to wait for release?;doc_58_can_i_request_a_product_if_it_;1;1;0;0.25;0.5;0.0
Can I get notified or request a coming soon product before it actually goes on sale?;doc_58_can_i_request_a_product_if_it_;1;0;0;1.0;0.0;0.0
Can I still buy something if it says on hold?;doc_59_can_i_order_a_product_if_it_is;1;0;0;1.0;0.0;0.0
What does it mean when a product is listed as on hold?;doc_59_can_i_order_a_product_if_it_is;1;1;0;1.0;0.1111111111111111;0.0
Is there any way to order an item that’s currently on hold?;doc_59_can_i_order_a_product_if_it_is;1;0;0;1.0;0.0;0.0
Should I just wait or can I get notified when an on-hold product is back?;doc_59_can_i_order_a_product_if_it_is;1;0;0;1.0;0.0;0.0
Why can’t I add an on-hold product to my cart?;doc_59_can_i_order_a_product_if_it_is;1;0;0;0.5;0.0;0.0
Can I still return something if I lost the receipt?;doc_60_can_i_return_a_product_if_i_no;1;1;0;1.0;0.25;0.0
Do I need the original receipt to make a return?;doc_60_can_i_return_a_product_if_i_no;1;1;0;1.0;0.14285714285714285;0.0
What happens if I want to return an item but don't have the receipt anymore?;doc_60_can_i_return_a_product_if_i_no;1;1;0;1.0;0.1111111111111111;0.0
Is a receipt required for returns, or can customer support help without one?;doc_60_can_i_return_a_product_if_i_no;1;0;0;0.3333333333333333;0.0;0.0
How do I start a return if I can't find my proof of purchase?;doc_60_can_i_return_a_product_if_i_no;0;1;0;0.0;0.14285714285714285;0.0
Can a limited edition item come back after it sells out, or is it gone for good?;doc_61_can_i_request_a_product_that_i;1;0;0;0.5;0.0;0.0
If a product is marked limited edition and it’s sold out, can I still ask for a restock?;doc_61_can_i_request_a_product_that_i;1;1;0;0.3333333333333333;0.2;0.0
Do you ever restock limited edition products once they’re gone?;doc_61_can_i_request_a_product_that_i;1;1;0;0.3333333333333333;1.0;0.0
Should I buy a limited edition item right away because it might not be available again?;doc_61_can_i_request_a_product_that_i;1;0;0;1.0;0.0;0.0
What happens when a limited edition product sells out—can it be reordered later?;doc_61_can_i_request_a_product_that_i;1;1;0;1.0;1.0;0.0
Can I still buy a product if it shows as discontinued on the website?;doc_62_can_i_order_a_product_if_it_is;1;1;0;1.0;0.1111111111111111;0.0
What does it mean when an item is marked discontinued but still appears online?;doc_62_can_i_order_a_product_if_it_is;1;0;0;1.0;0.0;0.0
If a discontinued product is still visible, is that a website error or can I order it?;doc_62_can_i_order_a_product_if_it_is;1;0;0;1.0;0.0;0.0
Should I contact support if I see a discontinued item still listed on the site?;doc_62_can_i_order_a_product_if_it_is;1;0;0;1.0;0.0;0.0
Why is a product listed as discontinued but not removed from the website?;doc_62_can_i_order_a_product_if_it_is;1;1;0;1.0;0.125;0.0
Are clearance items eligible for returns or refunds?;doc_63_can_i_return_a_product_if_it_w;1;0;0;1.0;0.0;0.0
If I bought something on final sale, can I send it back?;doc_63_can_i_return_a_product_if_it_w;1;0;0;0.5;0.0;0.0
Do clearance products count as non-returnable?;doc_63_can_i_return_a_product_if_it_w;1;0;0;0.5;0.0;0.0
Is it possible to get a refund on a final sale item?;doc_63_can_i_return_a_product_if_it_w;1;0;0;0.5;0.0;0.0
How can I check whether a clearance item is returnable before I buy it?;doc_63_can_i_return_a_product_if_it_w;1;0;0;1.0;0.0;0.0
If something isn't listed on your site, can I still ask for it or order it somehow?;doc_64_can_i_request_a_product_if_it_;1;1;1;0.5;1.0;0.25
What should I do if the product I want doesn't appear on the website?;doc_64_can_i_request_a_product_if_it_;1;1;1;0.2;0.3333333333333333;0.25
Do you offer any way to get items that aren't shown in your online catalog?;doc_64_can_i_request_a_product_if_it_;0;1;1;0.0;0.5;0.25
Should I contact support if I can't find a product on your website?;doc_64_can_i_request_a_product_if_it_;1;1;1;1.0;1.0;0.25
If a product isn't available online, is it completely unavailable for purchase?;doc_64_can_i_request_a_product_if_it_;0;1;1;0.0;0.14285714285714285;0.25
Can I still buy something that says out of stock if backorder is allowed?;doc_65_can_i_order_a_product_if_it_is;1;1;0;0.5;0.14285714285714285;0.0
If an item is out of stock but backorderable, can I place the order anyway?;doc_65_can_i_order_a_product_if_it_is;1;1;0;0.5;1.0;0.0
Do you let customers order products that are currently out of stock for backorder?;doc_65_can_i_order_a_product_if_it_is;1;1;0;0.3333333333333333;0.16666666666666666;0.0
When a product is marked out of stock with backorder, can I secure it now and get it later?;doc_65_can_i_order_a_product_if_it_is;1;0;0;1.0;0.0;0.0
Will my order go through for an out-of-stock item if it’s available on backorder?;doc_65_can_i_order_a_product_if_it_is;1;1;0;1.0;0.16666666666666666;0.0
Can I return something I bought as part of a bundle or set?;doc_66_can_i_return_a_product_if_it_w;1;1;0;1.0;1.0;0.0
If I purchased an item in a set, is the return policy different?;doc_66_can_i_return_a_product_if_it_w;1;1;0;0.5;0.5;0.0
Are returns allowed for products that came in a bundle?;doc_66_can_i_return_a_product_if_it_w;1;0;0;0.25;0.0;0.0
What happens if I want to return only one item from a set?;doc_66_can_i_return_a_product_if_it_w;1;1;0;0.5;0.16666666666666666;0.0
Do I need to check special terms before returning a bundled product?;doc_66_can_i_return_a_product_if_it_w;0;0;0;0.0;0.0;0.0
Is it possible to ask for an out-of-stock item to come back in stock?;doc_67_can_i_request_a_product_that_i;1;1;0;0.2;0.3333333333333333;0.0
How can I get notified when a sold-out product is available again?;doc_67_can_i_request_a_product_that_i;0;1;0;0.0;0.14285714285714285;0.0
Do you restock popular products, and can I be alerted when they return?;doc_67_can_i_request_a_product_that_i;1;0;0;0.1111111111111111;0.0;0.0
What should I do if the item I want is currently out of stock?;doc_67_can_i_request_a_product_that_i;1;0;0;0.1;0.0;0.0
Can I sign up for alerts so I know when a product is restocked?;doc_67_can_i_request_a_product_that_i;1;1;0;0.25;0.2;0.0
Can I still buy something that says coming soon and is open for pre-order?;doc_68_can_i_order_a_product_if_it_is;1;1;0;1.0;0.3333333333333333;0.0
If an item is marked coming soon, does that mean I can place a pre-order for it now?;doc_68_can_i_order_a_product_if_it_is;1;1;0;0.5;1.0;0.0
How does ordering work for products that aren't out yet but show pre-order availability?;doc_68_can_i_order_a_product_if_it_is;0;0;0;0.0;0.0;0.0
Is it possible to secure a product before release if the page says coming soon?;doc_68_can_i_order_a_product_if_it_is;1;0;0;0.5;0.0;0.0
Do coming soon products let me order ahead of time so I don't miss it?;doc_68_can_i_order_a_product_if_it_is;1;0;0;0.25;0.0;0.0
What should I do if my item arrives damaged from shipping mishandling?;doc_69_can_i_return_a_product_if_it_w;1;0;0;0.25;0.0;0.0
Can I send back a product that got damaged during delivery?;doc_69_can_i_return_a_product_if_it_w;1;0;0;0.5;0.0;0.0
If something was broken in transit, how do I start a return or replacement?;doc_69_can_i_return_a_product_if_it_w;0;0;0;0.0;0.0;0.0
Do I need to contact support first if my package was damaged while shipping?;doc_69_can_i_return_a_product_if_it_w;1;1;0;0.3333333333333333;0.25;0.0
How do returns work when the damage happened because of shipping mishandling?;doc_69_can_i_return_a_product_if_it_w;1;1;0;0.5;0.16666666666666666;0.0
Can I reserve an item that’s currently out of stock?;doc_70_can_i_request_a_product_that_i;1;1;1;0.125;0.125;0.16666666666666666
Do you offer holds or reservations for products that aren’t available right now?;doc_70_can_i_request_a_product_that_i;0;1;1;0.0;0.1111111111111111;0.16666666666666666
If something is sold out, can I ask for it to be saved for me?;doc_70_can_i_request_a_product_that_i;1;1;1;0.5;0.5;0.16666666666666666
Is there any way to get a reservation on an out-of-stock product?;doc_70_can_i_request_a_product_that_i;1;1;1;0.16666666666666666;1.0;0.16666666666666666
What can I do if I want to know when an out-of-stock item is back?;doc_70_can_i_request_a_product_that_i;1;1;1;0.14285714285714285;1.0;0.16666666666666666
If something says pre-order and backorder, can I still buy it now?;doc_71_can_i_order_a_product_if_it_is;1;1;0;1.0;0.125;0.0
Does a pre-order item on backorder let me place an order right away?;doc_71_can_i_order_a_product_if_it_is;1;1;0;0.5;0.16666666666666666;0.0
Can I secure a product that is marked pre-order but also available for backorder?;doc_71_can_i_order_a_product_if_it_is;1;1;0;1.0;0.3333333333333333;0.0
When a product is listed as pre-order with backorder available, do I pay now and get it later?;doc_71_can_i_order_a_product_if_it_is;1;1;0;1.0;0.1111111111111111;0.0
Will my order go through for an item that’s pre-order and backorderable?;doc_71_can_i_order_a_product_if_it_is;1;1;0;0.14285714285714285;0.3333333333333333;0.0
Can I return something I bought with store credit and get store credit back?;doc_72_can_i_return_a_product_if_it_w;1;1;0;1.0;0.3333333333333333;0.0
If I used store credit to pay for an item, can I still return it later?;doc_72_can_i_return_a_product_if_it_w;1;1;0;1.0;0.1111111111111111;0.0
What happens when I return a product purchased with store credit?;doc_72_can_i_return_a_product_if_it_w;1;1;0;1.0;0.5;0.0
Do refunds for items bought with store credit come back as store credit too?;doc_72_can_i_return_a_product_if_it_w;1;0;0;1.0;0.0;0.0
Is it possible to return an order paid with store credit and use the refund on a future purchase?;doc_72_can_i_return_a_product_if_it_w;1;0;0;1.0;0.0;0.0
How can I get notified when an out-of-stock item is available again?;doc_73_can_i_request_a_product_that_i;1;0;0;0.16666666666666666;0.0;0.0
Is there a way to sign up for restock alerts on a sold-out product?;doc_73_can_i_request_a_product_that_i;1;0;0;0.16666666666666666;0.0;0.0
Do you restock popular items, and can I be notified when they come back?;doc_73_can_i_request_a_product_that_i;0;0;0;0.0;0.0;0.0
Can I request an item that’s out of stock to be restocked and get an update?;doc_73_can_i_request_a_product_that_i;1;0;0;0.5;0.0;0.0
What should I do if the product I want is sold out right now?;doc_73_can_i_request_a_product_that_i;0;1;0;0.0;0.25;0.0
Can I still buy something that says sold out if it’s available for pre-order?;doc_74_can_i_order_a_product_if_it_is;1;1;0;1.0;0.2;0.0
If an item is marked sold out but has a pre-order option, can I place an order now?;doc_74_can_i_order_a_product_if_it_is;1;1;0;1.0;0.3333333333333333;0.0
How does pre-order work when the product page shows sold out?;doc_74_can_i_order_a_product_if_it_is;1;1;0;0.5;0.16666666666666666;0.0
Will I be able to secure a product that’s out of stock by pre-ordering it?;doc_74_can_i_order_a_product_if_it_is;1;1;0;0.1;0.125;0.0
If I pre-order a sold out item, does that mean it will ship later when it’s back?;doc_74_can_i_order_a_product_if_it_is;1;1;0;1.0;0.1111111111111111;0.0
If I buy something with a promo gift card, can I still return it?;doc_75_can_i_return_a_product_if_it_w;1;0;0;0.5;0.0;0.0
When I return an item paid for with a promotional gift card, do I get cash back or store credit?;doc_75_can_i_return_a_product_if_it_w;1;1;0;1.0;0.1;0.0
Can products purchased using a promo gift card be refunded to the original payment method?;doc_75_can_i_return_a_product_if_it_w;1;1;0;0.5;0.25;0.0
What happens to my refund if the order was paid with a promotional gift card?;doc_75_can_i_return_a_product_if_it_w;1;1;0;1.0;0.5;0.0
Is it possible to return an item bought with a promotional gift card and get a new gift card instead?;doc_75_can_i_return_a_product_if_it_w;1;1;0;1.0;1.0;0.0
If the color I want is out of stock, can I still request it somehow?;doc_76_can_i_request_a_product_if_it_;1;0;0;0.1111111111111111;0.0;0.0
What should I do if a product isn't available in my preferred color right now?;doc_76_can_i_request_a_product_if_it_;1;1;0;1.0;1.0;0.0
Is there a way to get notified when a product comes back in the color I want?;doc_76_can_i_request_a_product_if_it_;1;0;0;1.0;0.0;0.0
Should I just check back later if my preferred color is unavailable?;doc_76_can_i_request_a_product_if_it_;1;1;0;1.0;0.125;0.0
Does unavailable in my color mean it's only temporary, and not gone for good?;doc_76_can_i_request_a_product_if_it_;1;1;0;1.0;0.5;0.0
"Is there any way to buy a product that says ""coming soon"" but doesn't offer pre-order?";doc_77_can_i_order_a_product_if_it_is;1;1;0;0.2;0.5;0.0
If an item is marked coming soon and pre-order isn't available, can I still place an order now?;doc_77_can_i_order_a_product_if_it_is;1;1;0;0.5;1.0;0.0
Do I have to wait until release day if a product is coming soon but not open for pre-order?;doc_77_can_i_order_a_product_if_it_is;1;1;0;0.3333333333333333;1.0;0.0
Why can't I order a product that's listed as coming soon unless it's actually released?;doc_77_can_i_order_a_product_if_it_is;1;1;0;0.25;0.3333333333333333;0.0
When a product is coming soon, does it become available only after the official release?;doc_77_can_i_order_a_product_if_it_is;1;1;0;0.25;0.25;0.0
If I bought something during a promo sale, can I still return it?;doc_78_can_i_return_a_product_if_it_w;1;0;0;0.2;0.0;0.0
Will I get refunded for the discounted price if the item was bought in a promotional event?;doc_78_can_i_return_a_product_if_it_w;1;1;0;0.5;1.0;0.0
Are returns allowed for products purchased on promotion or sale?;doc_78_can_i_return_a_product_if_it_w;0;0;0;0.0;0.0;0.0
If I return an item I got with a discount, how is the refund calculated?;doc_78_can_i_return_a_product_if_it_w;0;0;0;0.0;0.0;0.0
Can I send back a product bought during a special offer and get my money back?;doc_78_can_i_return_a_product_if_it_w;1;1;0;0.3333333333333333;0.2;0.0
