question,document
Do coming soon products let me order ahead of time so I don't miss it?,doc_68_can_i_order_a_product_if_it_is
What should I do if my item arrives damaged from shipping mishandling?,doc_69_can_i_return_a_product_if_it_w
Can I send back a product that got damaged during delivery?,doc_69_can_i_return_a_product_if_it_w
"If something was broken in transit, how do I start a return or replacement?",doc_69_can_i_return_a_product_if_it_w
Do I need to contact support first if my package was damaged while shipping?,doc_69_can_i_return_a_product_if_it_w
How do returns work when the damage happened because of shipping mishandling?,doc_69_can_i_return_a_product_if_it_w
Can I reserve an item that’s currently out of stock?,doc_70_can_i_request_a_product_that_i
Do you offer holds or reservations for products that aren’t available right now?,doc_70_can_i_request_a_product_that_i
"If something is sold out, can I ask for it to be saved for me?",doc_70_can_i_request_a_product_that_i
Is there any way to get a reservation on an out-of-stock product?,doc_70_can_i_request_a_product_that_i
What can I do if I want to know when an out-of-stock item is back?,doc_70_can_i_request_a_product_that_i
"If something says pre-order and backorder, can I still buy it now?",doc_71_can_i_order_a_product_if_it_is
Does a pre-order item on backorder let me place an order right away?,doc_71_can_i_order_a_product_if_it_is
Can I secure a product that is marked pre-order but also available for backorder?,doc_71_can_i_order_a_product_if_it_is
"When a product is listed as pre-order with backorder available, do I pay now and get it later?",doc_71_can_i_order_a_product_if_it_is
Will my order go through for an item that’s pre-order and backorderable?,doc_71_can_i_order_a_product_if_it_is
Can I return something I bought with store credit and get store credit back?,doc_72_can_i_return_a_product_if_it_w
"If I used store credit to pay for an item, can I still return it later?",doc_72_can_i_return_a_product_if_it_w
What happens when I return a product purchased with store credit?,doc_72_can_i_return_a_product_if_it_w
Do refunds for items bought with store credit come back as store credit too?,doc_72_can_i_return_a_product_if_it_w
Is it possible to return an order paid with store credit and use the refund on a future purchase?,doc_72_can_i_return_a_product_if_it_w
How can I get notified when an out-of-stock item is available again?,doc_73_can_i_request_a_product_that_i
Is there a way to sign up for restock alerts on a sold-out product?,doc_73_can_i_request_a_product_that_i
"Do you restock popular items, and can I be notified when they come back?",doc_73_can_i_request_a_product_that_i
Can I request an item that’s out of stock to be restocked and get an update?,doc_73_can_i_request_a_product_that_i
What should I do if the product I want is sold out right now?,doc_73_can_i_request_a_product_that_i
Can I still buy something that says sold out if it’s available for pre-order?,doc_74_can_i_order_a_product_if_it_is
"If an item is marked sold out but has a pre-order option, can I place an order now?",doc_74_can_i_order_a_product_if_it_is
How does pre-order work when the product page shows sold out?,doc_74_can_i_order_a_product_if_it_is
Will I be able to secure a product that’s out of stock by pre-ordering it?,doc_74_can_i_order_a_product_if_it_is
"If I pre-order a sold out item, does that mean it will ship later when it’s back?",doc_74_can_i_order_a_product_if_it_is
"If I buy something with a promo gift card, can I still return it?",doc_75_can_i_return_a_product_if_it_w
"When I return an item paid for with a promotional gift card, do I get cash back or store credit?",doc_75_can_i_return_a_product_if_it_w
Can products purchased using a promo gift card be refunded to the original payment method?,doc_75_can_i_return_a_product_if_it_w
What happens to my refund if the order was paid with a promotional gift card?,doc_75_can_i_return_a_product_if_it_w
Is it possible to return an item bought with a promotional gift card and get a new gift card instead?,doc_75_can_i_return_a_product_if_it_w
"If the color I want is out of stock, can I still request it somehow?",doc_76_can_i_request_a_product_if_it_
What should I do if a product isn't available in my preferred color right now?,doc_76_can_i_request_a_product_if_it_
Is there a way to get notified when a product comes back in the color I want?,doc_76_can_i_request_a_product_if_it_
Should I just check back later if my preferred color is unavailable?,doc_76_can_i_request_a_product_if_it_
"Does unavailable in my color mean it's only temporary, and not gone for good?",doc_76_can_i_request_a_product_if_it_
"Is there any way to buy a product that says ""coming soon"" but doesn't offer pre-order?",doc_77_can_i_order_a_product_if_it_is
"If an item is marked coming soon and pre-order isn't available, can I still place an order now?",doc_77_can_i_order_a_product_if_it_is
Do I have to wait until release day if a product is coming soon but not open for pre-order?,doc_77_can_i_order_a_product_if_it_is
Why can't I order a product that's listed as coming soon unless it's actually released?,doc_77_can_i_order_a_product_if_it_is
"When a product is coming soon, does it become available only after the official release?",doc_77_can_i_order_a_product_if_it_is
"If I bought something during a promo sale, can I still return it?",doc_78_can_i_return_a_product_if_it_w
Will I get refunded for the discounted price if the item was bought in a promotional event?,doc_78_can_i_return_a_product_if_it_w
Are returns allowed for products purchased on promotion or sale?,doc_78_can_i_return_a_product_if_it_w
"If I return an item I got with a discount, how is the refund calculated?",doc_78_can_i_return_a_product_if_it_w
Can I send back a product bought during a special offer and get my money back?,doc_78_can_i_return_a_product_if_it_w
